,TLT,IEI,VTI,BND,IAU,DBC,SHV,Portfolio Returns,Portfolio Values
2012-06-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.023462228435883747,11821.357048583477
2012-07-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.006917069092599593,12098.712428079489
2012-08-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.00020722581659232686,12182.40005787601
2012-09-30,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.02379446040614086,12179.875550075962
2012-10-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.009667344570322145,11890.061983547956
2012-11-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.00597366823831319,12005.007309705401
2012-12-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.03950679286662462,11933.293378838696
2013-01-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.01712564790130483,12404.73952857314
2013-02-28,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.020257235577119337,12192.300327099398
2013-03-31,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.010848287009237456,12439.28262705244
2013-04-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.021587688199411204,12574.227535179727
2013-05-31,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.007274149452781042,12302.779031801816
2013-06-30,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.028864875774260224,12213.28677843995
2013-07-31,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.01515660839990507,12565.821784095033
2013-08-31,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.01953084001896377,12375.366544090508
2013-09-30,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.021244186488621974,12617.067848239176
2013-10-31,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.012041796835119689,12885.107190546765
2013-11-30,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.010483880471314044,13040.267033534068
2013-12-31,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.01589227007475502,13176.979634427656
2014-01-31,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.026681115922886578,12967.567515307786
2014-02-28,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0016984263146522238,13313.556687421571
2014-03-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.010783603456752888,13336.168782441102
2014-04-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0033154978682026215,13479.980738223276
2014-05-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.011849022804403586,13524.673585624267
2014-06-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.006652586220522616,13684.927751362442
2014-07-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.044373098899419205,13593.88758957488
2014-08-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.021044929615320007,14197.090508014673
2014-09-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.027822747917521484,13898.313737531176
2014-10-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.027238089154842493,14285.003017129133
2014-11-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.016065428521499392,14674.09920288689
2014-12-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.03539977316152065,14909.84489474826
2015-01-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.001981938247597237,15437.650021895803
2015-02-28,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.0003529659028939647,15407.053552864389
2015-03-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.014049368490315295,15401.615388296166
2015-04-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.005375021116255818,15185.232418359881
2015-05-31,0.0,0.0,0.5,0.5,0.0,0.0,0.0,-0.013935821274129068,15103.611473455945
2015-06-30,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.011861538476217515,14893.130243367978
2015-07-31,0.0,0.5,0.5,0.0,0.0,0.0,0.0,-0.030680266165072023,15069.785680781006
2015-08-31,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.005594442515091114,14607.440645044053
2015-09-30,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.004441523166611894,14689.161132025358
